	GBSF	Storer	Stockton	Haring	Meyer	Tupper	LSA	Briggs	UCDMC	Hutch	Robbins	Wickson	UCDMCR	RMI	Admuns
GBSF	0.0000	0.6912	16.8113	0.7001	0.5761	0.0813	0.9844	0.6011	16.7929	0.5372	0.8217	0.8819	16.7881	0.7504	0.9844	
Storer	0.6912	0.0000	16.2187	0.0987	0.4182	0.7101	0.8897	0.0906	16.1977	0.1574	0.1542	0.1923	16.1970	0.5631	0.8897	
Stockton	16.8113	16.2187	0.0000	16.1655	16.2394	16.7835	16.8672	16.3005	0.1232	16.3359	16.0649	16.0424	0.0716	16.0890	16.8672	
Haring	0.7001	0.0987	16.1655	0.0000	0.3418	0.7078	0.9862	0.1421	16.1451	0.1717	0.1240	0.2013	16.1434	0.4705	0.9862	
Meyer	0.5761	0.4182	16.2394	0.3418	0.0000	0.5441	1.2109	0.3846	16.2215	0.3284	0.4413	0.5301	16.2159	0.2003	1.2109	
Tupper	0.0813	0.7101	16.7835	0.7078	0.5441	0.0000	1.0618	0.6219	16.7656	0.5531	0.8312	0.8974	16.7599	0.7062	1.0618	
LSA	0.9844	0.8897	16.8672	0.9862	1.2109	1.0618	0.0000	0.8627	16.8417	0.8937	1.0120	0.9791	16.8479	1.4013	0.0000	
Briggs	0.6011	0.0906	16.3005	0.1421	0.3846	0.6219	0.8627	0.0000	16.2797	0.0751	0.2373	0.2828	16.2785	0.5526	0.8627	
UCDMC	16.7929	16.1977	0.1232	16.1451	16.2215	16.7656	16.8417	16.2797	0.0000	16.3156	16.0439	16.0208	0.1895	16.0721	16.8417	
Hutch	0.5372	0.1574	16.3359	0.1717	0.3284	0.5531	0.8937	0.0751	16.3156	0.0000	0.2869	0.3451	16.3136	0.5091	0.8937	
Robbins	0.8217	0.1542	16.0649	0.1240	0.4413	0.8312	1.0120	0.2373	16.0439	0.2869	0.0000	0.0895	16.0431	0.5357	1.0120	
Wickson	0.8819	0.1923	16.0424	0.2013	0.5301	0.8974	0.9791	0.2828	16.0208	0.3451	0.0895	0.0000	16.0210	0.6231	0.9791	
UCDMCR	16.7881	16.1970	0.0716	16.1434	16.2159	16.7599	16.8479	16.2785	0.1895	16.3136	16.0431	16.0210	0.0000	16.0650	16.8479	
RMI	0.7504	0.5631	16.0890	0.4705	0.2003	0.7062	1.4013	0.5526	16.0721	0.5091	0.5357	0.6231	16.0650	0.0000	1.4013	
Admuns	0.9844	0.8897	16.8672	0.9862	1.2109	1.0618	0.0000	0.8627	16.8417	0.8937	1.0120	0.9791	16.8479	1.4013	0.0000	
